NomeProduto,Categoria,Preco,Origem,QuantidadeVendida,Litros,ImpactoAmbiental
Plus Oxigênio Premium Essencial,Oxigênio Gasoso,166.0,Importado Exclusivo,1315,,5.93
Hiper Oxigênio Premium Verde,Hidrogênio Líquido,193.0,Importado Especial,1356,92.05,0.4
Hiper Oxigênio Premium Essencial,Hidrogênio Gasoso,166.0,Importado Exclusivo,1594,,6.98
Super Oxigênio Puro Eficiente,Oxigênio Gasoso,192.0,Importado Exclusivo,1090,,5.81
Ultra Oxigênio Eficiente Puro,Oxigênio Líquido,184.0,Nacional,1611,98.34,9.37
Super Hidrogênio Puro Avançado,Oxigênio Líquido,240.0,Importado Exclusivo,1847,83.21,6.39
Exclusivo Oxigênio Premium Premium,Oxigênio Líquido,188.0,Importado Exclusivo,967,38.03,2.87
Mega Hidrogênio Eficiente Poderoso,Oxigênio Líquido,198.0,Importado Especial,964,31.78,0.13
Super Oxigênio Eficiente Eficiente,Oxigênio Gasoso,220.0,Local,640,,7.82
Hiper Oxigênio Puro Puro,Hidrogênio Líquido,219.0,Importado,1449,41.6,8.54
Hiper Hidrogênio Eficiente Premium,Hidrogênio Gasoso,211.0,Nacional Premium,1424,,0.32
Hiper Oxigênio Eficiente Poderoso,Hidrogênio Gasoso,193.0,Nacional,884,,9.85
Super Oxigênio Eficiente Natural,Hidrogênio Gasoso,167.0,Nacional Premium,1883,,8.13
Mega Hidrogênio Verde Natural,Hidrogênio Gasoso,198.0,Nacional Premium,954,,3.41
Max Hidrogênio Eficiente Verde,Oxigênio Gasoso,226.0,Importado Exclusivo,1775,,3.6
Essencial Oxigênio Puro Essencial,Oxigênio Líquido,176.0,Importado,1112,8.02,0.09
Hiper Hidrogênio Puro Premium,Hidrogênio Líquido,219.0,Nacional Premium,1471,59.84,8.17
Exclusivo Hidrogênio Verde Eficiente,Hidrogênio Líquido,202.0,Nacional Premium,109,54.82,4.33
Plus Hidrogênio Verde Poderoso,Oxigênio Gasoso,250.0,Importado,429,,4.7
Ultra Hidrogênio Puro Puro,Oxigênio Gasoso,238.0,Importado Exclusivo,730,,8.09
Ultra Hidrogênio Eficiente Premium,Hidrogênio Líquido,233.0,Importado Especial,1114,29.58,1.1
Max Hidrogênio Puro Natural,Hidrogênio Gasoso,246.0,Importado Exclusivo,1250,,8.95
Max Hidrogênio Verde Essencial,Hidrogênio Líquido,205.0,Internacional,1823,79.91,4.1
Ultra Oxigênio Puro Avançado,Oxigênio Gasoso,210.0,Internacional,1872,,2.16
Super Hidrogênio Verde Eficiente,Oxigênio Líquido,183.0,Importado,367,16.45,3.59
Super Oxigênio Puro Poderoso,Oxigênio Líquido,168.0,Importado Exclusivo,1743,10.25,1.11
Max Hidrogênio Verde Avançado,Oxigênio Líquido,224.0,Importado Exclusivo,1743,38.55,5.98
Ultra Oxigênio Premium Verde,Hidrogênio Líquido,140.0,Internacional,340,17.23,4.94
Ultra Oxigênio Premium Natural,Oxigênio Líquido,156.0,Nacional Premium,1556,44.43,3.08
Essencial Hidrogênio Eficiente Premium,Hidrogênio Gasoso,257.0,Importado,1389,,6.08
Max Hidrogênio Puro Avançado,Oxigênio Gasoso,263.0,Nacional,252,,3.31
Avançado Hidrogênio Verde Avançado,Oxigênio Líquido,203.0,Importado Especial,50,88.77,3.56
Hiper Hidrogênio Eficiente Extra,Oxigênio Gasoso,237.0,Local,699,,9.6
Hiper Hidrogênio Eficiente Premium,Oxigênio Gasoso,209.0,Internacional,960,,7.14
Super Hidrogênio Puro Eficiente,Oxigênio Gasoso,241.0,Importado Exclusivo,1008,,9.06
Essencial Oxigênio Puro Premium,Hidrogênio Líquido,191.0,Nacional Premium,1118,40.35,1.89
Hiper Oxigênio Puro Puro,Oxigênio Líquido,194.0,Importado Exclusivo,1791,63.05,1.99
Avançado Oxigênio Eficiente Verde,Hidrogênio Líquido,217.0,Local,144,7.85,4.81
Super Hidrogênio Puro Puro,Hidrogênio Gasoso,201.0,Nacional,970,,1.98
Ultra Hidrogênio Verde Poderoso,Hidrogênio Líquido,230.0,Local,870,49.44,0.99
Plus Oxigênio Eficiente Natural,Hidrogênio Líquido,211.0,Local,587,7.1,8.12
Mega Oxigênio Puro Puro,Oxigênio Gasoso,194.0,Importado,963,,0.23
Exclusivo Hidrogênio Verde Avançado,Oxigênio Líquido,194.0,Importado,1439,43.39,3.61
Mega Hidrogênio Verde Eficiente,Hidrogênio Gasoso,241.0,Importado Exclusivo,1899,,2.51
Super Oxigênio Puro Eficiente,Oxigênio Gasoso,171.0,Importado,638,,6.87
Avançado Oxigênio Eficiente Natural,Oxigênio Gasoso,177.0,Importado Exclusivo,772,,1.67
Max Oxigênio Eficiente Verde,Hidrogênio Líquido,164.0,Nacional Premium,1889,17.45,7.8
Plus Oxigênio Puro Extra,Hidrogênio Líquido,165.0,Importado Especial,1708,90.19,1.11
Super Oxigênio Eficiente Natural,Oxigênio Líquido,168.0,Internacional,745,71.51,1.96
Mega Oxigênio Premium Puro,Oxigênio Líquido,175.0,Internacional,642,7.34,1.01
Plus Hidrogênio Verde Verde,Hidrogênio Líquido,193.0,Internacional,1217,37.96,2.36
Max Hidrogênio Puro Avançado,Hidrogênio Líquido,258.0,Local,725,82.25,7.57
Essencial Oxigênio Eficiente Premium,Hidrogênio Líquido,176.0,Importado Especial,154,97.5,7.8
Super Hidrogênio Verde Eficiente,Oxigênio Gasoso,232.0,Nacional Premium,434,,9.07
Essencial Oxigênio Premium Poderoso,Oxigênio Líquido,136.0,Nacional,1185,40.53,7.1
Mega Hidrogênio Eficiente Poderoso,Hidrogênio Líquido,201.0,Importado Especial,1425,44.57,1.38
Ultra Hidrogênio Puro Avançado,Oxigênio Líquido,269.0,Importado Especial,871,10.05,3.81
Max Oxigênio Puro Avançado,Hidrogênio Gasoso,216.0,Importado,1040,,2.04
Max Oxigênio Eficiente Premium,Hidrogênio Líquido,165.0,Nacional Premium,485,22.47,5.71
Mega Oxigênio Puro Eficiente,Oxigênio Gasoso,181.0,Importado Especial,1424,,7.79
Avançado Oxigênio Premium Premium,Oxigênio Gasoso,178.0,Importado Especial,1455,,6.04
Ultra Hidrogênio Verde Natural,Oxigênio Gasoso,222.0,Local,1450,,4.43
Hiper Hidrogênio Verde Essencial,Hidrogênio Gasoso,184.0,Local,1465,,6.67
Exclusivo Oxigênio Puro Poderoso,Oxigênio Gasoso,165.0,Local,111,,2.78
Super Oxigênio Eficiente Extra,Hidrogênio Líquido,205.0,Importado Especial,1003,29.43,6.7
Hiper Oxigênio Eficiente Premium,Oxigênio Líquido,194.0,Internacional,926,5.48,0.24
Hiper Oxigênio Eficiente Verde,Oxigênio Gasoso,207.0,Importado Especial,1875,,6.74
Ultra Hidrogênio Puro Extra,Hidrogênio Gasoso,228.0,Importado Especial,1049,,1.73
Super Oxigênio Puro Natural,Oxigênio Gasoso,197.0,Importado Exclusivo,1579,,6.9
Plus Hidrogênio Puro Natural,Oxigênio Líquido,260.0,Nacional Premium,1084,34.27,2.43
Super Oxigênio Eficiente Avançado,Hidrogênio Líquido,183.0,Local,675,49.61,7.0
Plus Hidrogênio Puro Extra,Oxigênio Gasoso,227.0,Nacional,857,,5.86
Avançado Hidrogênio Eficiente Poderoso,Hidrogênio Gasoso,235.0,Nacional Premium,908,,5.4
Plus Hidrogênio Verde Eficiente,Oxigênio Líquido,188.0,Importado Especial,1325,45.93,4.65
Hiper Oxigênio Eficiente Essencial,Hidrogênio Líquido,157.0,Nacional Premium,849,71.24,2.49
Mega Oxigênio Puro Essencial,Oxigênio Líquido,203.0,Internacional,1107,64.45,6.09
Avançado Oxigênio Puro Puro,Oxigênio Gasoso,220.0,Internacional,445,,6.88
Avançado Hidrogênio Eficiente Verde,Oxigênio Líquido,228.0,Importado,1666,34.49,3.02
Avançado Oxigênio Eficiente Poderoso,Oxigênio Gasoso,206.0,Importado Especial,192,,8.0
Super Hidrogênio Puro Poderoso,Oxigênio Gasoso,259.0,Nacional,666,,1.67
Super Oxigênio Puro Premium,Oxigênio Líquido,163.0,Importado,1552,56.53,5.38
Ultra Oxigênio Puro Eficiente,Hidrogênio Líquido,171.0,Nacional Premium,725,35.16,8.83
Plus Hidrogênio Eficiente Avançado,Hidrogênio Líquido,242.0,Importado Exclusivo,436,76.2,0.53
Avançado Oxigênio Eficiente Puro,Oxigênio Gasoso,177.0,Importado Exclusivo,1201,,4.67
Hiper Hidrogênio Eficiente Verde,Oxigênio Líquido,225.0,Local,127,40.6,3.8
Exclusivo Oxigênio Premium Natural,Hidrogênio Gasoso,181.0,Internacional,732,,5.29
Essencial Hidrogênio Eficiente Puro,Hidrogênio Gasoso,229.0,Importado,586,,6.19
Max Hidrogênio Verde Poderoso,Oxigênio Gasoso,223.0,Internacional,1019,,0.8
Exclusivo Oxigênio Eficiente Avançado,Hidrogênio Gasoso,218.0,Importado Especial,730,,5.27
Super Oxigênio Premium Eficiente,Oxigênio Gasoso,187.0,Importado Exclusivo,1169,,1.74
Plus Hidrogênio Puro Premium,Hidrogênio Gasoso,206.0,Nacional Premium,430,,6.91
Plus Hidrogênio Verde Puro,Hidrogênio Líquido,186.0,Nacional Premium,1942,39.6,9.12
Max Hidrogênio Verde Poderoso,Oxigênio Gasoso,195.0,Importado Exclusivo,1466,,8.89
Essencial Oxigênio Premium Extra,Hidrogênio Líquido,142.0,Importado Especial,1786,17.8,8.97
Essencial Oxigênio Premium Extra,Hidrogênio Líquido,142.0,Nacional,1657,59.92,9.03
Ultra Oxigênio Puro Natural,Oxigênio Líquido,211.0,Importado Exclusivo,504,15.34,3.54
Exclusivo Hidrogênio Verde Eficiente,Oxigênio Líquido,229.0,Importado,287,23.09,1.86
Exclusivo Hidrogênio Verde Puro,Oxigênio Gasoso,198.0,Internacional,1350,,6.74
Mega Oxigênio Premium Natural,Oxigênio Líquido,131.0,Local,1407,15.44,6.16
Super Oxigênio Puro Poderoso,Oxigênio Gasoso,214.0,Local,373,,0.48
Exclusivo Oxigênio Eficiente Essencial,Hidrogênio Líquido,210.0,Local,900,84.08,2.39
Avançado Hidrogênio Verde Poderoso,Hidrogênio Gasoso,226.0,Local,1534,,8.09
Super Oxigênio Puro Extra,Oxigênio Gasoso,202.0,Local,1331,,5.63
Ultra Oxigênio Puro Extra,Hidrogênio Gasoso,214.0,Importado Especial,202,,5.38
Exclusivo Oxigênio Puro Extra,Oxigênio Líquido,226.0,Nacional Premium,982,7.16,6.51
Mega Hidrogênio Puro Natural,Oxigênio Gasoso,224.0,Importado Especial,1670,,3.69
Avançado Hidrogênio Verde Essencial,Oxigênio Líquido,203.0,Importado Especial,1171,8.72,9.22
Super Oxigênio Puro Eficiente,Hidrogênio Líquido,207.0,Nacional Premium,760,69.66,7.47
Mega Hidrogênio Puro Verde,Oxigênio Líquido,260.0,Nacional,1417,70.06,8.76
Plus Hidrogênio Eficiente Eficiente,Oxigênio Líquido,221.0,Importado Especial,1366,97.81,0.55
Ultra Hidrogênio Eficiente Natural,Oxigênio Líquido,256.0,Importado Especial,1825,85.86,7.24
Exclusivo Hidrogênio Verde Poderoso,Hidrogênio Gasoso,206.0,Internacional,1770,,3.11
Hiper Oxigênio Puro Extra,Oxigênio Líquido,196.0,Local,953,59.17,1.45
Super Hidrogênio Verde Verde,Hidrogênio Líquido,224.0,Importado,1195,21.28,2.76
Mega Oxigênio Eficiente Verde,Hidrogênio Gasoso,169.0,Importado Especial,1475,,3.64
Exclusivo Oxigênio Eficiente Extra,Oxigênio Líquido,202.0,Local,1251,65.57,0.97
Plus Hidrogênio Puro Avançado,Oxigênio Gasoso,220.0,Importado Especial,519,,7.98
Mega Hidrogênio Puro Avançado,Hidrogênio Líquido,223.0,Internacional,723,99.05,0.61
Hiper Oxigênio Eficiente Poderoso,Hidrogênio Gasoso,220.0,Internacional,1561,,8.64
Super Oxigênio Eficiente Puro,Hidrogênio Líquido,190.0,Nacional Premium,610,58.27,0.15
Essencial Hidrogênio Puro Extra,Oxigênio Líquido,231.0,Nacional Premium,1347,27.12,6.25
Avançado Oxigênio Eficiente Premium,Hidrogênio Líquido,201.0,Nacional,1683,31.58,6.6
Mega Hidrogênio Verde Poderoso,Oxigênio Gasoso,228.0,Internacional,803,,4.41
Plus Oxigênio Puro Essencial,Oxigênio Líquido,173.0,Importado Especial,1663,44.87,9.73
Hiper Hidrogênio Eficiente Eficiente,Oxigênio Gasoso,198.0,Nacional Premium,1694,,5.06
Ultra Oxigênio Eficiente Poderoso,Hidrogênio Gasoso,161.0,Local,1124,,2.36
Avançado Oxigênio Eficiente Puro,Hidrogênio Líquido,194.0,Local,1020,5.67,2.27
Super Hidrogênio Verde Puro,Hidrogênio Líquido,195.0,Internacional,1074,70.96,1.48
Essencial Oxigênio Eficiente Eficiente,Oxigênio Líquido,155.0,Nacional Premium,272,88.87,9.59
Super Hidrogênio Verde Premium,Oxigênio Gasoso,212.0,Importado Exclusivo,1394,,5.53
Hiper Oxigênio Puro Premium,Hidrogênio Líquido,202.0,Importado Exclusivo,392,16.61,5.83
Ultra Oxigênio Puro Natural,Oxigênio Gasoso,187.0,Importado,1851,,8.14
Plus Hidrogênio Puro Essencial,Oxigênio Gasoso,251.0,Nacional Premium,1147,,0.63
Super Hidrogênio Eficiente Avançado,Oxigênio Líquido,230.0,Internacional,646,12.18,8.26
Exclusivo Oxigênio Premium Natural,Oxigênio Líquido,200.0,Local,544,93.07,0.49
Avançado Hidrogênio Verde Avançado,Hidrogênio Gasoso,190.0,Nacional Premium,1128,,8.56
Super Hidrogênio Eficiente Puro,Hidrogênio Líquido,217.0,Importado Especial,625,6.89,0.36
Plus Oxigênio Eficiente Natural,Hidrogênio Líquido,204.0,Importado Exclusivo,1064,87.15,8.59
Ultra Oxigênio Puro Extra,Oxigênio Líquido,164.0,Local,1662,44.39,2.93
Super Hidrogênio Puro Extra,Hidrogênio Gasoso,269.0,Nacional Premium,670,,6.49
Exclusivo Hidrogênio Verde Natural,Oxigênio Gasoso,199.0,Local,709,,5.37
Super Hidrogênio Verde Premium,Oxigênio Líquido,190.0,Internacional,617,71.35,2.4
Essencial Oxigênio Eficiente Puro,Hidrogênio Gasoso,160.0,Importado Exclusivo,628,,1.18
Ultra Hidrogênio Puro Eficiente,Hidrogênio Gasoso,250.0,Internacional,459,,2.18
Plus Oxigênio Premium Eficiente,Oxigênio Gasoso,176.0,Nacional Premium,1147,,0.12
Plus Hidrogênio Eficiente Eficiente,Hidrogênio Gasoso,253.0,Importado,909,,3.77
Avançado Hidrogênio Puro Premium,Oxigênio Líquido,202.0,Importado Especial,1633,79.95,1.85
Plus Hidrogênio Eficiente Verde,Hidrogênio Líquido,234.0,Importado,601,73.9,1.32
Ultra Hidrogênio Verde Natural,Oxigênio Líquido,204.0,Importado Exclusivo,978,19.46,3.65
Max Hidrogênio Verde Essencial,Hidrogênio Gasoso,227.0,Importado Exclusivo,688,,8.37
Exclusivo Oxigênio Premium Natural,Oxigênio Líquido,142.0,Importado Exclusivo,392,24.33,5.21
Hiper Oxigênio Eficiente Eficiente,Hidrogênio Gasoso,223.0,Importado Especial,374,,2.83
Exclusivo Hidrogênio Eficiente Verde,Oxigênio Líquido,190.0,Importado Especial,973,80.77,3.45
Avançado Oxigênio Eficiente Extra,Hidrogênio Gasoso,185.0,Importado Exclusivo,770,,9.32
Avançado Hidrogênio Eficiente Essencial,Hidrogênio Líquido,196.0,Importado,623,9.22,7.44
Avançado Oxigênio Premium Avançado,Hidrogênio Líquido,172.0,Internacional,1308,34.72,5.99
Essencial Oxigênio Eficiente Premium,Oxigênio Gasoso,215.0,Importado Exclusivo,1387,,7.83
Exclusivo Oxigênio Eficiente Puro,Hidrogênio Líquido,169.0,Nacional Premium,335,65.4,6.68
Super Oxigênio Premium Essencial,Oxigênio Líquido,181.0,Nacional Premium,1128,94.8,3.05
Essencial Hidrogênio Puro Extra,Hidrogênio Gasoso,216.0,Local,1238,,5.36
Mega Hidrogênio Verde Avançado,Oxigênio Líquido,185.0,Importado,1259,30.82,0.47
Avançado Oxigênio Eficiente Essencial,Hidrogênio Líquido,181.0,Importado Especial,1696,29.15,8.62
Exclusivo Oxigênio Premium Puro,Oxigênio Gasoso,184.0,Nacional,1087,,2.31
Hiper Oxigênio Eficiente Poderoso,Oxigênio Gasoso,204.0,Nacional,1977,,1.57
Avançado Oxigênio Premium Poderoso,Oxigênio Líquido,147.0,Internacional,506,9.64,8.05
Essencial Oxigênio Puro Natural,Hidrogênio Líquido,208.0,Importado,963,24.8,9.82
Avançado Hidrogênio Verde Poderoso,Oxigênio Líquido,219.0,Importado Especial,89,12.68,7.04
Avançado Oxigênio Eficiente Premium,Oxigênio Gasoso,176.0,Internacional,1025,,5.95
Ultra Oxigênio Eficiente Natural,Hidrogênio Líquido,166.0,Nacional Premium,573,80.76,9.54
Essencial Oxigênio Premium Premium,Oxigênio Líquido,160.0,Local,628,84.54,8.64
Mega Hidrogênio Puro Natural,Oxigênio Gasoso,201.0,Local,849,,0.79
Exclusivo Hidrogênio Verde Avançado,Hidrogênio Líquido,194.0,Internacional,1496,30.68,4.79
Super Oxigênio Puro Poderoso,Oxigênio Gasoso,225.0,Local,1280,,7.71
Plus Hidrogênio Puro Puro,Hidrogênio Líquido,227.0,Importado Especial,1827,38.18,5.2
Ultra Hidrogênio Eficiente Avançado,Oxigênio Líquido,192.0,Nacional Premium,1882,25.75,5.82
Exclusivo Hidrogênio Eficiente Essencial,Hidrogênio Gasoso,201.0,Importado,1627,,3.38
Super Oxigênio Puro Natural,Oxigênio Líquido,200.0,Nacional Premium,429,34.69,2.79
Hiper Oxigênio Eficiente Eficiente,Oxigênio Gasoso,203.0,Nacional Premium,194,,8.27
Super Hidrogênio Verde Essencial,Oxigênio Líquido,228.0,Nacional Premium,960,59.58,8.5
Hiper Oxigênio Premium Puro,Oxigênio Gasoso,132.0,Internacional,502,,7.56
Max Oxigênio Puro Poderoso,Oxigênio Líquido,174.0,Local,1247,96.14,8.59
Mega Hidrogênio Puro Poderoso,Hidrogênio Gasoso,209.0,Nacional,1346,,0.62
Avançado Oxigênio Eficiente Puro,Hidrogênio Gasoso,219.0,Internacional,1475,,7.65
Hiper Hidrogênio Verde Natural,Hidrogênio Gasoso,225.0,Importado Exclusivo,1375,,8.87
Ultra Hidrogênio Eficiente Natural,Hidrogênio Gasoso,249.0,Importado,1397,,1.01
Max Oxigênio Premium Eficiente,Oxigênio Líquido,195.0,Nacional Premium,1761,93.62,5.7
Mega Hidrogênio Puro Verde,Hidrogênio Líquido,220.0,Importado Especial,255,39.98,5.14
Super Hidrogênio Puro Poderoso,Hidrogênio Gasoso,217.0,Nacional Premium,1838,,3.82
Avançado Hidrogênio Puro Premium,Hidrogênio Gasoso,248.0,Internacional,456,,4.68
Mega Oxigênio Puro Premium,Hidrogênio Gasoso,223.0,Internacional,255,,7.04
Exclusivo Hidrogênio Verde Poderoso,Oxigênio Gasoso,208.0,Importado Exclusivo,1989,,9.33
Hiper Hidrogênio Puro Verde,Oxigênio Gasoso,253.0,Internacional,1971,,9.02
Ultra Oxigênio Puro Puro,Oxigênio Líquido,187.0,Importado,503,93.92,3.41
Essencial Oxigênio Puro Natural,Oxigênio Gasoso,170.0,Nacional Premium,1989,,5.07
Max Hidrogênio Verde Eficiente,Oxigênio Líquido,188.0,Importado Exclusivo,1855,88.29,9.92
Essencial Hidrogênio Puro Eficiente,Hidrogênio Gasoso,268.0,Nacional Premium,1521,,6.05
Exclusivo Oxigênio Premium Poderoso,Hidrogênio Líquido,156.0,Internacional,1831,73.58,1.57
Max Hidrogênio Verde Verde,Oxigênio Gasoso,204.0,Internacional,280,,1.84
Avançado Hidrogênio Verde Avançado,Oxigênio Gasoso,191.0,Importado Exclusivo,1667,,0.18
Hiper Oxigênio Premium Essencial,Oxigênio Gasoso,189.0,Importado Exclusivo,719,,6.13
Exclusivo Hidrogênio Puro Premium,Oxigênio Líquido,226.0,Local,217,59.44,4.69
Avançado Oxigênio Puro Verde,Oxigênio Gasoso,200.0,Internacional,1762,,9.37
Max Hidrogênio Verde Verde,Oxigênio Líquido,190.0,Importado Especial,506,46.29,3.0
Avançado Hidrogênio Puro Verde,Oxigênio Líquido,259.0,Importado Especial,1749,18.54,4.49
Essencial Hidrogênio Verde Poderoso,Hidrogênio Líquido,218.0,Local,1189,42.03,7.74
Ultra Hidrogênio Puro Poderoso,Oxigênio Líquido,265.0,Nacional Premium,430,79.1,6.77
Mega Oxigênio Puro Eficiente,Hidrogênio Líquido,202.0,Internacional,952,61.61,1.46
Ultra Hidrogênio Puro Avançado,Oxigênio Gasoso,224.0,Importado Exclusivo,333,,0.87
Super Oxigênio Eficiente Eficiente,Hidrogênio Gasoso,221.0,Nacional,181,,5.99
Avançado Hidrogênio Verde Avançado,Hidrogênio Líquido,208.0,Importado Exclusivo,1507,52.12,4.15
Avançado Oxigênio Eficiente Puro,Hidrogênio Líquido,198.0,Nacional,255,86.56,1.83
Super Hidrogênio Eficiente Natural,Hidrogênio Gasoso,197.0,Importado Especial,618,,9.94
Super Hidrogênio Verde Eficiente,Hidrogênio Gasoso,235.0,Internacional,711,,9.53
Ultra Hidrogênio Eficiente Essencial,Oxigênio Gasoso,227.0,Importado Especial,383,,3.46
Exclusivo Hidrogênio Eficiente Verde,Hidrogênio Líquido,198.0,Importado Exclusivo,1870,72.53,8.11
Essencial Hidrogênio Eficiente Poderoso,Hidrogênio Gasoso,237.0,Nacional Premium,316,,4.77
Super Hidrogênio Puro Verde,Hidrogênio Líquido,218.0,Nacional,1232,85.7,1.92
Max Oxigênio Eficiente Poderoso,Oxigênio Líquido,223.0,Nacional,704,82.88,0.51
Max Oxigênio Eficiente Puro,Hidrogênio Líquido,207.0,Local,563,76.15,5.47
Super Oxigênio Eficiente Puro,Hidrogênio Gasoso,210.0,Internacional,1231,,2.0
Hiper Hidrogênio Eficiente Verde,Hidrogênio Líquido,213.0,Internacional,142,70.96,9.73
Essencial Oxigênio Eficiente Eficiente,Oxigênio Líquido,179.0,Nacional,1136,50.75,1.36
Exclusivo Oxigênio Premium Premium,Oxigênio Líquido,176.0,Internacional,1677,38.37,6.89
Super Oxigênio Premium Essencial,Oxigênio Líquido,175.0,Nacional Premium,1968,23.85,3.71
Avançado Oxigênio Eficiente Poderoso,Oxigênio Líquido,217.0,Internacional,1149,71.63,7.65
Ultra Hidrogênio Eficiente Poderoso,Hidrogênio Gasoso,203.0,Internacional,1799,,9.87
Ultra Oxigênio Eficiente Poderoso,Oxigênio Líquido,223.0,Internacional,1980,16.38,5.74
Max Hidrogênio Puro Natural,Oxigênio Líquido,261.0,Internacional,1085,99.6,8.83
Essencial Hidrogênio Puro Avançado,Oxigênio Gasoso,265.0,Importado Exclusivo,1228,,0.26
Avançado Hidrogênio Verde Natural,Oxigênio Líquido,221.0,Nacional Premium,103,92.11,6.84
Super Hidrogênio Puro Essencial,Hidrogênio Gasoso,239.0,Internacional,1686,,5.36
Avançado Oxigênio Premium Eficiente,Oxigênio Gasoso,137.0,Importado Especial,847,,0.8
Max Oxigênio Premium Eficiente,Hidrogênio Líquido,143.0,Local,252,86.04,3.28
Mega Oxigênio Puro Premium,Oxigênio Líquido,182.0,Local,1661,60.9,6.45
Max Oxigênio Eficiente Essencial,Hidrogênio Líquido,223.0,Nacional Premium,874,89.92,8.91
Mega Oxigênio Premium Premium,Oxigênio Gasoso,168.0,Nacional,1044,,7.13
Super Oxigênio Premium Premium,Oxigênio Líquido,190.0,Nacional Premium,1844,56.68,9.62
Avançado Hidrogênio Puro Avançado,Hidrogênio Líquido,252.0,Local,277,8.01,6.0
Essencial Hidrogênio Eficiente Extra,Hidrogênio Líquido,240.0,Nacional Premium,1561,80.18,6.97
Ultra Oxigênio Eficiente Puro,Oxigênio Gasoso,164.0,Importado Exclusivo,1834,,6.87
Essencial Oxigênio Puro Poderoso,Oxigênio Gasoso,218.0,Importado,1664,,4.78
Max Oxigênio Premium Extra,Hidrogênio Gasoso,189.0,Nacional Premium,1097,,0.82
