NomeProduto,Categoria,Preco,Origem,QuantidadeVendida,Litros,ImpactoAmbiental
Plus Oxigênio Premium Avançado,Hidrogênio Gasoso,194.0,Importado Especial,1540,,6.68
Avançado Oxigênio Premium Verde,Oxigênio Gasoso,172.0,Nacional,353,,9.46
Super Oxigênio Premium Avançado,Hidrogênio Líquido,193.0,Local,1268,13.11,0.29
Mega Oxigênio Premium Verde,Oxigênio Gasoso,175.0,Nacional,755,,9.28
Super Oxigênio Premium Poderoso,Hidrogênio Gasoso,170.0,Importado Exclusivo,1614,,6.54
Avançado Oxigênio Premium Eficiente,Hidrogênio Gasoso,161.0,Nacional Premium,1103,,5.86
Essencial Oxigênio Premium Extra,Oxigênio Líquido,156.0,Importado Exclusivo,905,56.53,2.81
Super Oxigênio Premium Essencial,Hidrogênio Gasoso,142.0,Importado Especial,816,,1.96
Plus Oxigênio Premium Premium,Hidrogênio Líquido,159.0,Nacional Premium,684,98.83,2.73
Max Oxigênio Premium Verde,Oxigênio Gasoso,149.0,Importado Exclusivo,1119,,8.98
Essencial Oxigênio Premium Verde,Oxigênio Gasoso,146.0,Importado Exclusivo,262,,2.72
Super Oxigênio Premium Avançado,Oxigênio Líquido,192.0,Nacional,1838,47.38,1.96
Hiper Oxigênio Premium Essencial,Hidrogênio Líquido,158.0,Importado Exclusivo,278,48.46,7.33
Mega Oxigênio Premium Poderoso,Oxigênio Líquido,186.0,Nacional Premium,473,57.3,6.13
Plus Oxigênio Premium Essencial,Oxigênio Gasoso,175.0,Nacional Premium,167,,1.13
Super Oxigênio Premium Natural,Oxigênio Gasoso,190.0,Nacional Premium,189,,7.24
Ultra Oxigênio Premium Premium,Oxigênio Gasoso,148.0,Nacional,1778,,4.6
Hiper Oxigênio Premium Essencial,Hidrogênio Gasoso,141.0,Internacional,1696,,3.26
Plus Oxigênio Premium Premium,Oxigênio Gasoso,192.0,Importado Exclusivo,1863,,0.41
Hiper Oxigênio Premium Puro,Hidrogênio Gasoso,136.0,Nacional Premium,1434,,7.94
Super Oxigênio Premium Premium,Oxigênio Gasoso,147.0,Importado Especial,1089,,8.76
Avançado Oxigênio Premium Extra,Hidrogênio Gasoso,144.0,Importado Especial,605,,4.55
Plus Oxigênio Premium Puro,Hidrogênio Gasoso,179.0,Nacional,814,,1.65
Super Oxigênio Premium Puro,Oxigênio Gasoso,176.0,Nacional,1103,,8.33
Plus Oxigênio Premium Avançado,Hidrogênio Gasoso,180.0,Nacional,1411,,8.33
Essencial Oxigênio Premium Poderoso,Hidrogênio Líquido,192.0,Local,450,65.97,3.53
Ultra Oxigênio Premium Eficiente,Oxigênio Gasoso,139.0,Nacional Premium,1260,,8.62
Plus Oxigênio Premium Verde,Hidrogênio Gasoso,135.0,Nacional Premium,1066,,5.13
Super Oxigênio Premium Eficiente,Oxigênio Líquido,193.0,Nacional,149,9.36,6.29
Essencial Oxigênio Premium Premium,Hidrogênio Líquido,195.0,Importado Especial,728,23.82,8.63
Mega Oxigênio Premium Puro,Hidrogênio Líquido,132.0,Internacional,1863,22.68,8.89
Ultra Oxigênio Premium Essencial,Hidrogênio Gasoso,169.0,Nacional,612,,9.11
Essencial Oxigênio Premium Eficiente,Hidrogênio Líquido,153.0,Nacional,880,87.74,0.53
Hiper Oxigênio Premium Poderoso,Hidrogênio Líquido,138.0,Importado Especial,622,99.2,1.01
Essencial Oxigênio Premium Avançado,Oxigênio Gasoso,147.0,Nacional Premium,589,,1.84
Max Oxigênio Premium Poderoso,Hidrogênio Gasoso,198.0,Importado Exclusivo,1169,,4.21
Ultra Oxigênio Premium Essencial,Hidrogênio Líquido,135.0,Internacional,1884,9.85,5.16
Ultra Oxigênio Premium Avançado,Oxigênio Líquido,138.0,Nacional Premium,1599,90.27,6.31
Avançado Oxigênio Premium Essencial,Oxigênio Líquido,150.0,Importado Exclusivo,315,55.72,4.99
Plus Oxigênio Premium Verde,Oxigênio Líquido,182.0,Importado Especial,1054,25.56,1.16
Ultra Oxigênio Premium Verde,Hidrogênio Gasoso,193.0,Internacional,581,,6.82
Plus Oxigênio Premium Essencial,Hidrogênio Gasoso,134.0,Nacional Premium,1718,,4.41
Exclusivo Oxigênio Premium Poderoso,Oxigênio Gasoso,147.0,Local,724,,1.33
Super Oxigênio Premium Premium,Oxigênio Gasoso,169.0,Local,1531,,8.55
Essencial Oxigênio Premium Verde,Hidrogênio Gasoso,151.0,Importado Especial,1541,,1.36
Plus Oxigênio Premium Essencial,Oxigênio Gasoso,170.0,Nacional,1435,,0.89
Avançado Oxigênio Premium Puro,Oxigênio Gasoso,164.0,Nacional,561,,5.57
Mega Oxigênio Premium Essencial,Oxigênio Líquido,160.0,Internacional,1479,47.72,4.09
Avançado Oxigênio Premium Poderoso,Oxigênio Líquido,137.0,Importado Especial,416,99.43,9.27
Plus Oxigênio Premium Premium,Oxigênio Gasoso,184.0,Nacional Premium,1035,,4.74
Mega Oxigênio Premium Avançado,Oxigênio Líquido,193.0,Nacional,1262,40.79,0.02
Mega Oxigênio Premium Essencial,Hidrogênio Gasoso,136.0,Nacional Premium,1933,,7.76
Plus Oxigênio Premium Premium,Oxigênio Gasoso,196.0,Local,1971,,9.73
Mega Oxigênio Premium Natural,Oxigênio Gasoso,134.0,Internacional,1689,,6.71
Avançado Oxigênio Premium Puro,Oxigênio Gasoso,132.0,Nacional,1622,,9.29
Mega Oxigênio Premium Natural,Oxigênio Líquido,184.0,Importado Especial,1627,76.9,9.53
Essencial Oxigênio Premium Natural,Oxigênio Gasoso,197.0,Internacional,594,,8.24
Essencial Oxigênio Premium Premium,Hidrogênio Gasoso,163.0,Internacional,1452,,5.81
Mega Oxigênio Premium Natural,Hidrogênio Líquido,161.0,Nacional Premium,1200,19.14,5.23
Ultra Oxigênio Premium Poderoso,Hidrogênio Gasoso,150.0,Importado Especial,286,,2.73
Max Oxigênio Premium Essencial,Oxigênio Gasoso,152.0,Nacional,342,,6.76
Ultra Oxigênio Premium Essencial,Hidrogênio Gasoso,130.0,Importado Especial,587,,3.09
Avançado Oxigênio Premium Puro,Hidrogênio Gasoso,157.0,Nacional,168,,5.37
Ultra Oxigênio Premium Puro,Oxigênio Gasoso,169.0,Importado Especial,1589,,9.18
Ultra Oxigênio Premium Premium,Oxigênio Gasoso,190.0,Importado Exclusivo,643,,6.02
Plus Oxigênio Premium Extra,Hidrogênio Gasoso,139.0,Local,140,,1.9
Mega Oxigênio Premium Poderoso,Hidrogênio Gasoso,152.0,Internacional,1469,,2.06
Hiper Oxigênio Premium Avançado,Hidrogênio Líquido,188.0,Importado Especial,1641,96.32,1.74
Exclusivo Oxigênio Premium Avançado,Hidrogênio Gasoso,171.0,Internacional,1762,,1.26
Super Oxigênio Premium Premium,Oxigênio Líquido,190.0,Nacional Premium,1844,56.68,9.62
Ultra Oxigênio Premium Verde,Oxigênio Líquido,174.0,Importado Exclusivo,88,47.18,7.26
Avançado Oxigênio Premium Verde,Oxigênio Líquido,184.0,Local,625,56.72,0.17
Plus Oxigênio Premium Puro,Hidrogênio Líquido,198.0,Local,1456,6.12,2.64
Hiper Oxigênio Premium Avançado,Hidrogênio Gasoso,173.0,Importado Especial,515,,5.27
Essencial Oxigênio Premium Puro,Hidrogênio Gasoso,139.0,Internacional,1151,,2.22
Ultra Oxigênio Premium Premium,Hidrogênio Gasoso,200.0,Internacional,822,,1.98
Max Oxigênio Premium Extra,Oxigênio Líquido,138.0,Importado Especial,583,72.2,1.36
Avançado Oxigênio Premium Natural,Oxigênio Gasoso,169.0,Importado Especial,1102,,9.53
Ultra Oxigênio Premium Poderoso,Oxigênio Gasoso,159.0,Nacional Premium,1316,,0.07
Essencial Oxigênio Premium Avançado,Oxigênio Líquido,154.0,Nacional Premium,1759,91.1,9.66
Essencial Oxigênio Premium Extra,Hidrogênio Líquido,132.0,Importado Especial,1965,86.83,2.66
Max Oxigênio Premium Puro,Hidrogênio Líquido,189.0,Nacional,785,20.71,5.21
Max Oxigênio Premium Eficiente,Hidrogênio Líquido,143.0,Local,252,86.04,3.28
Exclusivo Oxigênio Premium Essencial,Oxigênio Líquido,134.0,Importado Especial,1285,55.58,2.86
Exclusivo Oxigênio Premium Premium,Oxigênio Gasoso,192.0,Nacional Premium,121,,7.65
Avançado Oxigênio Premium Premium,Oxigênio Líquido,141.0,Internacional,1304,44.23,8.96
Mega Oxigênio Premium Extra,Hidrogênio Líquido,173.0,Local,553,75.19,8.74
Super Oxigênio Premium Poderoso,Oxigênio Gasoso,168.0,Nacional Premium,623,,6.94
Avançado Oxigênio Premium Essencial,Oxigênio Gasoso,145.0,Local,1216,,5.68
Plus Oxigênio Premium Eficiente,Oxigênio Gasoso,178.0,Importado Especial,936,,9.75
Hiper Oxigênio Premium Avançado,Hidrogênio Gasoso,180.0,Importado Especial,68,,4.03
Max Oxigênio Premium Verde,Oxigênio Gasoso,163.0,Nacional Premium,109,,9.14
Mega Oxigênio Premium Verde,Hidrogênio Gasoso,134.0,Importado Exclusivo,760,,3.89
Ultra Oxigênio Premium Puro,Oxigênio Gasoso,200.0,Local,674,,2.75
Hiper Oxigênio Premium Poderoso,Oxigênio Líquido,189.0,Importado Exclusivo,83,49.04,6.54
Exclusivo Oxigênio Premium Puro,Oxigênio Gasoso,180.0,Nacional Premium,415,,0.75
Exclusivo Oxigênio Premium Avançado,Oxigênio Líquido,185.0,Nacional,839,61.43,9.4
Hiper Oxigênio Premium Premium,Hidrogênio Gasoso,189.0,Importado Especial,487,,7.59
Avançado Oxigênio Premium Premium,Oxigênio Gasoso,178.0,Importado Especial,1455,,6.04
Exclusivo Oxigênio Premium Extra,Oxigênio Gasoso,163.0,Nacional,1444,,5.35
Exclusivo Oxigênio Premium Poderoso,Oxigênio Líquido,199.0,Nacional Premium,474,71.19,1.05
Avançado Oxigênio Premium Verde,Hidrogênio Líquido,166.0,Importado Especial,1412,98.31,8.21
Super Oxigênio Premium Poderoso,Hidrogênio Gasoso,140.0,Nacional,1567,,8.67
Plus Oxigênio Premium Verde,Oxigênio Líquido,183.0,Nacional,1499,60.3,4.96
Max Oxigênio Premium Premium,Hidrogênio Líquido,138.0,Nacional Premium,323,44.61,7.51
Essencial Oxigênio Premium Natural,Oxigênio Gasoso,165.0,Internacional,805,,9.13
Max Oxigênio Premium Natural,Hidrogênio Líquido,163.0,Nacional,1476,33.13,8.46
Ultra Oxigênio Premium Puro,Hidrogênio Gasoso,186.0,Nacional,711,,1.74
Mega Oxigênio Premium Extra,Hidrogênio Gasoso,140.0,Nacional Premium,1869,,0.74
Exclusivo Oxigênio Premium Eficiente,Oxigênio Líquido,178.0,Internacional,225,86.88,7.98
Max Oxigênio Premium Natural,Oxigênio Gasoso,196.0,Nacional Premium,358,,7.43
Mega Oxigênio Premium Essencial,Oxigênio Líquido,136.0,Internacional,210,82.9,4.83
Hiper Oxigênio Premium Natural,Oxigênio Líquido,153.0,Nacional Premium,476,12.33,4.93
Ultra Oxigênio Premium Puro,Oxigênio Gasoso,151.0,Nacional Premium,620,,1.27
Avançado Oxigênio Premium Puro,Hidrogênio Líquido,171.0,Nacional,599,91.31,1.04
Mega Oxigênio Premium Puro,Oxigênio Gasoso,158.0,Nacional Premium,1019,,3.81
Exclusivo Oxigênio Premium Natural,Oxigênio Gasoso,192.0,Local,263,,4.41
Super Oxigênio Premium Extra,Hidrogênio Líquido,134.0,Importado Especial,1595,31.61,0.26
Super Oxigênio Premium Puro,Oxigênio Gasoso,192.0,Local,1423,,4.63
Essencial Oxigênio Premium Puro,Oxigênio Gasoso,147.0,Importado Especial,821,,2.07
Avançado Oxigênio Premium Verde,Hidrogênio Líquido,130.0,Nacional Premium,1139,57.14,4.4
Ultra Oxigênio Premium Poderoso,Hidrogênio Líquido,152.0,Local,563,69.92,4.63
Plus Oxigênio Premium Avançado,Oxigênio Gasoso,193.0,Nacional,1214,,9.1
Mega Oxigênio Premium Extra,Oxigênio Líquido,174.0,Local,1260,34.61,2.98
Avançado Oxigênio Premium Extra,Oxigênio Líquido,154.0,Local,1789,73.8,0.67
Hiper Oxigênio Premium Essencial,Hidrogênio Líquido,179.0,Internacional,1947,58.25,3.08
Mega Oxigênio Premium Avançado,Hidrogênio Gasoso,174.0,Importado Especial,1265,,4.82
Essencial Oxigênio Premium Poderoso,Oxigênio Líquido,187.0,Local,1953,22.29,6.03
Max Oxigênio Premium Poderoso,Oxigênio Gasoso,152.0,Importado Exclusivo,1906,,2.35
Exclusivo Oxigênio Premium Premium,Hidrogênio Gasoso,181.0,Nacional Premium,1708,,7.26
Hiper Oxigênio Premium Essencial,Hidrogênio Gasoso,162.0,Importado Exclusivo,1901,,8.56
Essencial Oxigênio Premium Puro,Hidrogênio Gasoso,168.0,Nacional Premium,1192,,2.12
Plus Oxigênio Premium Avançado,Oxigênio Gasoso,149.0,Local,1851,,7.83
Exclusivo Oxigênio Premium Natural,Hidrogênio Líquido,151.0,Importado Especial,330,34.21,2.91
Essencial Oxigênio Premium Natural,Hidrogênio Gasoso,133.0,Nacional,1006,,0.39
Mega Oxigênio Premium Puro,Oxigênio Líquido,186.0,Importado Especial,1498,79.5,0.33
Exclusivo Oxigênio Premium Poderoso,Hidrogênio Líquido,156.0,Internacional,1831,73.58,1.57
Avançado Oxigênio Premium Essencial,Oxigênio Líquido,151.0,Local,1340,39.77,6.34
Plus Oxigênio Premium Natural,Hidrogênio Gasoso,179.0,Nacional,1343,,4.51
Essencial Oxigênio Premium Natural,Oxigênio Gasoso,178.0,Importado Exclusivo,517,,4.12
Essencial Oxigênio Premium Extra,Hidrogênio Líquido,142.0,Nacional,1657,59.92,9.03
Max Oxigênio Premium Natural,Oxigênio Gasoso,198.0,Nacional Premium,403,,7.19
Super Oxigênio Premium Poderoso,Hidrogênio Líquido,145.0,Nacional,81,63.56,2.56
Essencial Oxigênio Premium Verde,Hidrogênio Líquido,184.0,Importado Especial,1503,49.79,1.37
Max Oxigênio Premium Avançado,Hidrogênio Líquido,138.0,Nacional Premium,405,30.16,9.82
Plus Oxigênio Premium Avançado,Oxigênio Líquido,142.0,Importado Exclusivo,540,58.34,2.7
Hiper Oxigênio Premium Extra,Hidrogênio Gasoso,176.0,Nacional Premium,664,,2.97
Essencial Oxigênio Premium Premium,Oxigênio Gasoso,130.0,Local,172,,7.42
Max Oxigênio Premium Extra,Hidrogênio Gasoso,189.0,Nacional Premium,1097,,0.82
Ultra Oxigênio Premium Poderoso,Hidrogênio Gasoso,142.0,Local,460,,9.61
Hiper Oxigênio Premium Verde,Hidrogênio Líquido,176.0,Local,1302,88.7,9.76
Essencial Oxigênio Premium Eficiente,Hidrogênio Gasoso,156.0,Local,876,,9.61
Avançado Oxigênio Premium Natural,Oxigênio Líquido,156.0,Nacional Premium,494,68.88,4.7
Max Oxigênio Premium Essencial,Hidrogênio Líquido,139.0,Importado Exclusivo,1642,60.56,9.72
Plus Oxigênio Premium Avançado,Oxigênio Líquido,194.0,Internacional,1631,33.58,2.66
Mega Oxigênio Premium Premium,Hidrogênio Gasoso,147.0,Importado Especial,1918,,6.46
Hiper Oxigênio Premium Avançado,Hidrogênio Gasoso,168.0,Internacional,1974,,2.37
Max Oxigênio Premium Natural,Hidrogênio Gasoso,189.0,Internacional,406,,4.56
Avançado Oxigênio Premium Natural,Oxigênio Líquido,146.0,Nacional Premium,1708,89.83,7.47
Max Oxigênio Premium Essencial,Hidrogênio Gasoso,194.0,Nacional Premium,197,,1.39
Ultra Oxigênio Premium Essencial,Oxigênio Gasoso,139.0,Local,230,,9.41
Max Oxigênio Premium Natural,Hidrogênio Gasoso,163.0,Nacional Premium,1705,,0.53
Max Oxigênio Premium Eficiente,Hidrogênio Gasoso,162.0,Importado Exclusivo,1688,,3.56
Exclusivo Oxigênio Premium Essencial,Oxigênio Gasoso,131.0,Internacional,619,,0.94
Hiper Oxigênio Premium Essencial,Oxigênio Líquido,168.0,Nacional Premium,339,58.11,6.58
Ultra Oxigênio Premium Eficiente,Oxigênio Líquido,182.0,Importado Especial,1856,37.89,8.44
Super Oxigênio Premium Puro,Hidrogênio Gasoso,166.0,Importado Especial,1857,,2.71
Hiper Oxigênio Premium Extra,Oxigênio Líquido,146.0,Local,684,32.49,9.75
Essencial Oxigênio Premium Essencial,Hidrogênio Gasoso,135.0,Nacional,986,,3.31
Mega Oxigênio Premium Premium,Hidrogênio Gasoso,146.0,Nacional,1424,,6.92
Avançado Oxigênio Premium Verde,Oxigênio Líquido,172.0,Importado Exclusivo,1330,54.51,3.34
Super Oxigênio Premium Essencial,Hidrogênio Líquido,171.0,Internacional,960,67.98,9.17
Plus Oxigênio Premium Avançado,Oxigênio Gasoso,175.0,Nacional Premium,667,,5.83
Plus Oxigênio Premium Poderoso,Hidrogênio Gasoso,149.0,Internacional,1375,,9.59
Essencial Oxigênio Premium Eficiente,Oxigênio Líquido,137.0,Importado Especial,300,80.87,8.71
Exclusivo Oxigênio Premium Essencial,Oxigênio Líquido,132.0,Importado Exclusivo,1178,59.79,0.26
Super Oxigênio Premium Essencial,Hidrogênio Líquido,158.0,Importado Exclusivo,1777,39.97,7.63
Super Oxigênio Premium Eficiente,Hidrogênio Líquido,133.0,Internacional,702,95.85,8.36
Mega Oxigênio Premium Natural,Hidrogênio Líquido,164.0,Importado Especial,1003,81.95,2.63
Plus Oxigênio Premium Puro,Oxigênio Gasoso,152.0,Nacional Premium,1542,,2.48
Super Oxigênio Premium Premium,Hidrogênio Gasoso,142.0,Internacional,1767,,0.31
Hiper Oxigênio Premium Essencial,Oxigênio Líquido,198.0,Local,1562,60.36,9.38
Plus Oxigênio Premium Extra,Oxigênio Líquido,189.0,Importado Exclusivo,1151,50.44,5.12
Avançado Oxigênio Premium Essencial,Oxigênio Gasoso,142.0,Local,1050,,7.78
Max Oxigênio Premium Eficiente,Oxigênio Gasoso,197.0,Nacional Premium,1427,,8.2
Avançado Oxigênio Premium Verde,Oxigênio Gasoso,147.0,Nacional Premium,879,,4.09
Max Oxigênio Premium Essencial,Oxigênio Líquido,195.0,Importado Especial,1267,53.47,0.57
Ultra Oxigênio Premium Eficiente,Oxigênio Líquido,198.0,Importado Especial,807,48.24,9.11
Exclusivo Oxigênio Premium Natural,Oxigênio Gasoso,180.0,Importado Especial,264,,2.48
Super Oxigênio Premium Verde,Hidrogênio Líquido,158.0,Importado Especial,909,36.58,6.72
Avançado Oxigênio Premium Poderoso,Hidrogênio Líquido,199.0,Local,1118,90.89,5.56
Exclusivo Oxigênio Premium Natural,Oxigênio Gasoso,166.0,Importado Especial,1885,,2.88
Essencial Oxigênio Premium Premium,Oxigênio Líquido,138.0,Nacional Premium,1585,70.17,8.7
Exclusivo Oxigênio Premium Poderoso,Oxigênio Líquido,173.0,Local,1352,60.7,3.5
Plus Oxigênio Premium Poderoso,Hidrogênio Gasoso,175.0,Local,121,,4.31
Exclusivo Oxigênio Premium Poderoso,Hidrogênio Gasoso,140.0,Nacional Premium,1100,,9.29
Super Oxigênio Premium Avançado,Oxigênio Líquido,197.0,Importado Exclusivo,945,45.62,2.96
Plus Oxigênio Premium Premium,Oxigênio Gasoso,132.0,Internacional,1985,,7.55
Ultra Oxigênio Premium Natural,Oxigênio Líquido,156.0,Nacional Premium,1556,44.43,3.08
Essencial Oxigênio Premium Avançado,Oxigênio Líquido,183.0,Nacional Premium,1098,51.71,4.43
Plus Oxigênio Premium Verde,Hidrogênio Líquido,134.0,Nacional Premium,530,9.13,3.49
Hiper Oxigênio Premium Natural,Hidrogênio Líquido,181.0,Local,1701,75.82,7.32
Plus Oxigênio Premium Poderoso,Hidrogênio Líquido,184.0,Local,773,84.42,3.41
Max Oxigênio Premium Natural,Hidrogênio Gasoso,196.0,Internacional,146,,6.0
Plus Oxigênio Premium Eficiente,Hidrogênio Líquido,137.0,Local,1273,34.06,1.79
Essencial Oxigênio Premium Natural,Oxigênio Líquido,164.0,Nacional,1721,94.29,7.25
Hiper Oxigênio Premium Eficiente,Oxigênio Gasoso,185.0,Internacional,855,,7.97
Plus Oxigênio Premium Essencial,Hidrogênio Gasoso,197.0,Importado Especial,383,,8.7
Plus Oxigênio Premium Poderoso,Hidrogênio Gasoso,144.0,Nacional,1831,,4.88
Ultra Oxigênio Premium Premium,Hidrogênio Líquido,160.0,Nacional Premium,1070,20.7,5.74
Hiper Oxigênio Premium Essencial,Hidrogênio Gasoso,138.0,Nacional,114,,6.14
Max Oxigênio Premium Avançado,Oxigênio Gasoso,144.0,Internacional,1444,,6.45
Ultra Oxigênio Premium Verde,Oxigênio Líquido,161.0,Importado Especial,715,47.93,1.87
Hiper Oxigênio Premium Puro,Oxigênio Gasoso,132.0,Internacional,502,,7.56
Mega Oxigênio Premium Eficiente,Hidrogênio Líquido,151.0,Internacional,589,74.96,4.83
Ultra Oxigênio Premium Eficiente,Oxigênio Líquido,198.0,Nacional,916,37.12,7.48
Plus Oxigênio Premium Poderoso,Oxigênio Líquido,154.0,Importado Especial,1081,77.8,9.02
Plus Oxigênio Premium Eficiente,Oxigênio Líquido,137.0,Nacional Premium,1469,79.69,5.11
Ultra Oxigênio Premium Poderoso,Oxigênio Líquido,131.0,Local,410,14.81,5.08
Exclusivo Oxigênio Premium Extra,Oxigênio Gasoso,193.0,Nacional,1108,,5.45
Ultra Oxigênio Premium Premium,Hidrogênio Líquido,155.0,Importado Especial,281,11.3,7.88
Max Oxigênio Premium Poderoso,Oxigênio Gasoso,143.0,Importado Exclusivo,1751,,4.47
Max Oxigênio Premium Poderoso,Oxigênio Líquido,197.0,Local,1797,44.24,3.9
Super Oxigênio Premium Avançado,Oxigênio Gasoso,195.0,Local,957,,6.2
Ultra Oxigênio Premium Extra,Oxigênio Gasoso,173.0,Internacional,99,,1.91
Mega Oxigênio Premium Natural,Oxigênio Líquido,166.0,Nacional,1302,16.34,2.02
Plus Oxigênio Premium Essencial,Hidrogênio Gasoso,138.0,Nacional Premium,1043,,2.72
Mega Oxigênio Premium Poderoso,Hidrogênio Líquido,162.0,Nacional,840,18.5,5.2
Mega Oxigênio Premium Poderoso,Hidrogênio Líquido,151.0,Nacional,1299,53.85,0.02
Mega Oxigênio Premium Verde,Hidrogênio Gasoso,174.0,Importado Exclusivo,1946,,8.44
Ultra Oxigênio Premium Extra,Hidrogênio Gasoso,138.0,Local,1364,,1.34
Mega Oxigênio Premium Premium,Oxigênio Líquido,148.0,Importado Especial,1160,72.16,2.2
Exclusivo Oxigênio Premium Puro,Hidrogênio Gasoso,177.0,Local,1597,,9.06
Hiper Oxigênio Premium Natural,Oxigênio Gasoso,186.0,Nacional Premium,1153,,4.2
Max Oxigênio Premium Premium,Oxigênio Gasoso,140.0,Importado Exclusivo,510,,0.1
Mega Oxigênio Premium Extra,Hidrogênio Líquido,144.0,Local,839,57.32,2.15
Avançado Oxigênio Premium Puro,Hidrogênio Líquido,133.0,Nacional Premium,1903,58.1,0.16
Avançado Oxigênio Premium Verde,Oxigênio Gasoso,161.0,Nacional Premium,485,,5.37
Max Oxigênio Premium Extra,Oxigênio Gasoso,157.0,Internacional,1457,,5.63
Ultra Oxigênio Premium Puro,Hidrogênio Líquido,132.0,Local,369,65.78,8.22
Super Oxigênio Premium Natural,Hidrogênio Líquido,137.0,Internacional,1185,24.41,0.07
Essencial Oxigênio Premium Premium,Oxigênio Gasoso,199.0,Nacional,50,,3.35
Plus Oxigênio Premium Natural,Oxigênio Gasoso,178.0,Importado Exclusivo,1532,,1.75
Max Oxigênio Premium Poderoso,Oxigênio Gasoso,135.0,Importado Exclusivo,1644,,7.89
Hiper Oxigênio Premium Eficiente,Oxigênio Líquido,161.0,Importado Especial,1615,71.9,7.21
Exclusivo Oxigênio Premium Natural,Oxigênio Líquido,131.0,Local,904,16.83,7.07
Max Oxigênio Premium Essencial,Hidrogênio Líquido,145.0,Local,270,14.73,8.05
Ultra Oxigênio Premium Premium,Oxigênio Líquido,138.0,Local,745,56.11,7.17
Exclusivo Oxigênio Premium Poderoso,Hidrogênio Líquido,167.0,Local,179,31.1,1.61
Plus Oxigênio Premium Puro,Hidrogênio Gasoso,171.0,Internacional,1458,,7.63
Avançado Oxigênio Premium Natural,Oxigênio Gasoso,136.0,Local,630,,2.16
Ultra Oxigênio Premium Extra,Oxigênio Gasoso,152.0,Nacional,1264,,3.93
Essencial Oxigênio Premium Extra,Oxigênio Gasoso,145.0,Nacional Premium,442,,8.63
Essencial Oxigênio Premium Extra,Oxigênio Gasoso,182.0,Nacional Premium,1254,,5.63
Super Oxigênio Premium Poderoso,Oxigênio Gasoso,148.0,Nacional,1739,,3.96
Exclusivo Oxigênio Premium Natural,Hidrogênio Gasoso,143.0,Local,1517,,3.72
Mega Oxigênio Premium Extra,Hidrogênio Líquido,131.0,Nacional,869,72.25,5.65
Ultra Oxigênio Premium Natural,Hidrogênio Líquido,162.0,Internacional,287,46.03,9.08
Avançado Oxigênio Premium Puro,Hidrogênio Gasoso,138.0,Nacional,350,,2.91
Mega Oxigênio Premium Extra,Hidrogênio Líquido,168.0,Local,1043,12.56,6.34
Exclusivo Oxigênio Premium Essencial,Oxigênio Líquido,178.0,Nacional Premium,98,20.44,3.02
Max Oxigênio Premium Premium,Oxigênio Gasoso,188.0,Local,699,,6.01
Exclusivo Oxigênio Premium Extra,Oxigênio Gasoso,197.0,Nacional,1715,,7.86
Avançado Oxigênio Premium Essencial,Oxigênio Líquido,177.0,Internacional,1181,38.71,9.9
Essencial Oxigênio Premium Verde,Hidrogênio Gasoso,139.0,Nacional Premium,1045,,8.51
Super Oxigênio Premium Premium,Oxigênio Líquido,173.0,Internacional,1534,51.11,0.57
Exclusivo Oxigênio Premium Verde,Oxigênio Gasoso,200.0,Nacional,991,,6.57
